Name,img,description
Order of Omega,https://se-infra-imageserver2.azureedge.net/clink/images/be430c58-d8ca-496e-8d57-50cacd1b177e4c4cd5d7-c7d6-4042-8665-6f41b2ccc971.png?preset=med-sq,"The Order of Omega is a leadership honor society for members of Greek organizations. Mission: To recognize those fraternity men and women who have attained a high standard of leadership in inter-fraternity activities, to encourage them to continue along this line, and to inspire others to strive for similar conspicuous attainment; To unite outstanding fraternity men and women to create an organization which will help to mold the sentiment of the institution on questions of local and intercollegiate fraternity affairs; To bring together members of the faculty, alumni, and student members of the institution's fraternities and sororities on a basis of mutual interest, understanding and helpfulness; To help create an atmosphere where ideas and issues can be discussed openly across Greek lines and to help work out solutions. General Information: Order of Omega was founded at the University of Miami in 1959 by a group of outstanding fraternity men, who felt that individuals in the Greek community should be recognized for their service to the fraternity system and the University. Considering the age of the American college fraternity, the ""active honorary"" concept was long overdue. There must continue to be a common means by which the most outstanding fraternity men and women can stand united to further the philosophy of the college fraternity."
Orientation and New Student Programs,https://se-infra-imageserver2.azureedge.net/clink/images/bf7de711-5535-4fa8-a650-6406e782f1d2e8844765-0fa3-4bb9-aceb-8ebd617b62bd.jpg?preset=med-sq,"The mission of the California State University, Chico Orientation and New Student Programs is to help facilitate the transition of new students to our campus and provide them with the tools and knowledge needed for a successful college experience. We strive to demonstrate a clear communication of our campus policies and expectations while encouraging campus involvement, diversity, inclusiveness, and integrity. Additionally, we wish to welcome and introduce new student’s families to Chico State and provide them with information and resources they can utilize to help their students succeed. Orientation is an important beginning step for students that provides opportunities for personal growth, meaningful connections and future academic success."
Painting and Drawing Club,https://se-infra-imageserver2.azureedge.net/clink/images/20941796-518f-4a7d-b973-18fa5d938a35e09d142e-9d82-4e1f-8c3c-076da361dcd2.jpeg?preset=med-sq,"The Painting and Drawing Club serves as an organization to better promote the sense of community among the students of the California State University, Chico Fine Art Department - in particular, the students of the painting and drawing disciplines."
Parent Advisory Council,https://se-infra-imageserver2.azureedge.net/clink/images/f3f3edbf-6d9e-4721-9cd1-0561f583a1f4b1e7dbf4-31ce-43ad-bc1f-24c2f26d224c.jpg?preset=med-sq,"The Chico State Parent Advisory Council is an organization of parents of current Chico State students who serve as a liason between the university and all Chico State parents. The PAC works to engage parents of future, current, and past Chico State students in support of the university's mission and strategic plan. The PAC meets two times per year, in October in conjunction with the Chico Experience Week, and the last Saturday in February."
Phi Alpha Theta,https://se-infra-imageserver2.azureedge.net/clink/images/9593831c-e9bb-4449-94ee-62e8f682a965b57d6b3a-d8d5-4c3c-b791-651a38834628.jpg?preset=med-sq,Phi Alpha Theta is a honors society for History students interested in furthering their experiences and knowledge through extracurricular activities and events.
Phi Beta Sigma Fraternity Incorporated,https://se-infra-imageserver2.azureedge.net/clink/images/cae2a363-6953-4624-a466-44db56b8cecb8fe4ca18-d498-4d28-93ca-60f798e4ae59.jpg?preset=med-sq,"Founded on the Campus of Howard University in Washington, D.C. on January 9, 1914, our fraternity is an international association of over 150,000 college-educated men with 650 chapters around the world. From the three honorable Founders in 1914, the scroll of Sigma Men lists some of the world’s most esteemed achievers and leaders. We are Men of Vision. Men of Service. Men of Culture. Men of Leadership."
Phi Chi Theta,https://se-infra-imageserver2.azureedge.net/clink/images/ba2d2f59-a1f4-4802-9a01-53daa9769941aa926b9e-9103-4549-9681-03e2cd86dad6.jpg?preset=med-sq,"PURPOSE The purpose of Phi Chi Theta is to promote the cause of higher business education and training for all individuals; to foster high ideas for everyone pursuing a career in business; to encourage fraternity and cooperation among people preparing for such careers; and to stimulate the spirit of sacrifice and unselfish devotion to the attainment of such ends. MISSION STATEMENT The mission of the Delta Chi Chapter of Phi Chi Theta is to pursue applied learning and teamwork, embrace moral and ethical values, and to professionally develop future leaders. Phi Chi Theta prides itself and strives to be the best student-run, professional organization that promotes careers in business and economics. Through constant improvement, professional development, leadership, and networking, members of Phi Chi Theta will place themselves in an elite group of individuals that strive for excellence in preparation for the business community and life beyond the university."
Phi Delta Theta,https://se-infra-imageserver2.azureedge.net/clink/images/88228fd3-bfbb-405f-948b-c74ecbe46635f39fe36c-05b9-46c1-b61a-ff0117282652.jpg?preset=med-sq,"Phi Delta Theta was built on three pillars that haven’t budged an inch since the Fraternity was founded by “The Immortal Six” way back in 1848 at Miami University. The pillars are: The cultivation of friendship among its members, the acquirement individually of a high degree of mental culture, and the attainment personally of a high standard of morality. Shortened, we refer to the principles as friendship, sound learning and rectitude. Helping every individual to meet his true potential is the bedrock of the Phi Delta Theta Fraternity. By celebrating each person’s true self, and by learning from each other’s strengths while helping to improve each other’s weaknesses, every member of Phi Delta Theta develops into a greater version of himself than he could ever on his own. Rather than try to find young men to “mold” into some ideal, we celebrate the uniqueness of each individual and, through encouragement, values, example and brotherhood, empower every brother to exceed his personal expectations."
Phi Kappa Tau,https://se-infra-imageserver2.azureedge.net/clink/images/b80b7756-7ca0-4724-87eb-f26cf76fb8c013d89395-c950-4bbe-afe3-c0d76d1b3c83.jpg?preset=med-sq,"We are the Beta Omega Chapter of the Phi Kappa Tau Fraternity, the oldest and one of the most historically rich fraternities in Chico. The brothers of Phi Kappa Tau are committed to creating a brotherhood unlike anything else on campus. We are focused on three main objectives: learning, leading, and serving. We want men dedicated to academics, men who desire to lead and men who want to give back. We believe a fraternity is more than just four walls and a roof - it is men unified by the bonds of brotherhood. Choosing a fraternity is a tough choice, so make the right one."
Phi Sigma Tau,https://se-infra-imageserver2.azureedge.net/clink/images/fa638165-b271-4b5d-adac-e09141a3ecab4574f80d-0f8d-4aeb-9b97-d8a66d70f80f.jpg?preset=med-sq,"We are both the Honors Philosophy Club on campus and the less formal Philosophy Club. All students are invited to attend our meetings and discuss philosophy, but in order to join the honors society, one must meet certain GPA and class requirements. We have speakers and movie nights every semester, Socratic readings, and discussions about various philosophical issues."
Photo Imaging Club,https://se-infra-imageserver2.azureedge.net/clink/images/3ef7fd9a-9aad-4ff8-a15a-b2cf07b337f8618edee3-0f50-4e1a-b8d6-87280927605a.jpg?preset=med-sq,"The Photo Imaging Club or PIC is a group that is interested in learning about and enjoying all different aspects of photography. Whether you want to make a career of photography or it's just a fun hobby, we offer resources for people from all majors and levels of skill to improve and have fun doing it. The Photo Club provides guest speakers, workshops, networking, portfolio reviews, field trips, and other opportunities dedicated to helping members make more out of their photography."
Physical Education Teacher Education/ Adapted Physical Education,https://se-infra-imageserver2.azureedge.net/clink/images/06d4a7b8-cd96-42dd-b2fa-f1eccaa54cb959bfd451-8588-4356-af28-c50ccd09034e.png?preset=med-sq,"The Physical Education Teacher Education/Adapted Physical Education (PETE/APE) Club is for all PETE/APE majors attending CSU Chico who are preparing to become teachers of K-12 physical education. The club’s mission is to promote professionalism, professional development, collegiality, and friendship. Through active and social club meetings we raise funds to attend state and national conferences, provide community service, advocate for quality physical education, help each other succeed in the PETE major, and build lifelong friendships and professional partnerships. The club provides a great opportunity to become an advocate for physical activity and quality physical education. The PETE/APE club is involved with CSUC campus events and the Chico community. Members attend and organize school and community events, and volunteer and host events for all of Chico to attend."
Pi Kappa Alpha,https://se-infra-imageserver2.azureedge.net/clink/images/90f9fd72-01ae-4ade-a82a-3810448f93548f44a756-34c6-42de-851b-19c37b9cea73.jpg?preset=med-sq,"Pi Kappa Alpha is dedicated to developing men of integrity, intellect, and high moral character and to fostering a truly lifelong fraternal experience."
Pi Kappa Delta,https://se-infra-imageserver2.azureedge.net/clink/images/15e29369-5426-4ae0-9165-5f4030a23c11ac0e74ec-4d59-4b86-82b5-e342c8799a8e.jpg?preset=med-sq,"Pi Kappa Delta supports a broad diversity of speech and debate events, forms and formats, and works to nurture the institutional and financial capacity of the entire forensic community."
Pi Sigma Alpha,https://se-infra-imageserver2.azureedge.net/clink/images/0667c903-8a2d-4033-a74b-efaa368bfa2974b64ef6-246d-42bc-8568-f529855dcfb1.jpg?preset=med-sq,"We the students of California State University, Chico, as members of the Upsilon Delta Chapter of Pi Sigma Alpha, do hereby instate our vision: to be the premier Pi Sigma Alpha chapter in the United States of America by upholding our dedication to political science education, promoting worthy political science extracurricular activities, and opening opportunities for political science scholarship."
Pre- Physicians Assistant Club,https://se-infra-imageserver2.azureedge.net/clink/images/92595dba-9fcc-48ad-ba6e-2e8d9d532c1f02c46832-b5c5-4926-9241-242e3335a202.jpg?preset=med-sq,"Help students learn about requirements for PA school as well as the expectations of physician assistants while in practice. We will organize workshops that inform our members the basics of suturing, how to use the CASPA website and much more. "
Pre-Medical Association,https://se-infra-imageserver2.azureedge.net/clink/images/07ffd387-38b2-43fe-ae9b-401b0d9f846243552e06-d5ad-4784-be8f-f9be21804298.jpg?preset=med-sq,"We provide all the resources future health care professionals may need to be successful in their chosen career. We give members access to a full library of MCAT study materials, pre-requisite courses, lists of doctors to shadow, as well as volunteer and research opportunities. Highly knowledgeable guest speakers are a frequent feature of our meetings, including physicians, physician's assistants (PA's), nurse practitioners (NP's), EMT's, and medical school representatives. Perhaps the most valuable resource that we offer is the chance to spend time with a group of students with the same ambitions, goals, and obstacles."
"Pre-Veterinary Club at CSU, Chico",https://se-infra-imageserver2.azureedge.net/clink/images/a457912d-38b8-4ac0-80ac-48a06082a54438efae8f-0b28-40fe-84d9-0af38eff0511.jpg?preset=med-sq,Organization dedicated to creating a community of students interested in pursuing a career in veterinary medicine.
Project Management Group,https://se-infra-imageserver2.azureedge.net/clink/images/aaeeddd8-ac78-4bdd-b536-65aeb9bcf5d031d43c30-385a-4d53-a71b-d554b165ae07.jpg?preset=med-sq,"The Project Management Group (PMG) is a student-run organization structured to foster the discipline of project management and provide students with unmatched opportunity to gain real-life experience in the field. Working closely with the Project Management Institute and industry professionals, the PMG focuses on networking and professional development by creating an experiential based learning environment designed to enhance each member’s career potential. We enthusiastically embrace the core values of the CSU, Chico College of Business in all our projects, while never forgetting our motto: “On Time and Under Budget”"
Promoting Achievement Through Hope,https://se-infra-imageserver2.azureedge.net/clink/images/3feef75f-f905-4548-a6df-e86b419f9068f62ca9c9-09b3-4a3a-a914-8d8f3f44d486.jpg?preset=med-sq,"The mission of the PATH Student Organization is to promote achievement among current and former foster youth and former unaccompanied minors. We focus on supporting these members of the community in defining and reaching their college and community aspirations. Our student organization is open to all CSU, Chico students who wish to become involved through volunteering, fundraising, and socializing in order to encourage and strengthen our target community. We also highlight the PATH Organization student example, to give hope to students aspiring to attend CSU, Chico and who come from current and former foster youth/former unaccompanied minor background."
Psi Chi- International Honor Society in Psychology,https://se-infra-imageserver2.azureedge.net/clink/images/57b7c59d-318c-4aa8-b477-c551b2b590be78dda4f7-9bb8-4fc4-a41d-4da66f7083fa.jpg?preset=med-sq,"Mission Statement Recognizing and promoting excellence in the science and application of psychology Purpose Statement Psi Chi is an international honor society whose purpose shall be to encourage, stimulate, and maintain excellence in scholarship of the individual members in all fields, particularly in psychology, and to advance the science of psychology."
NA,NA,NA
Rowing Club,https://se-infra-imageserver2.azureedge.net/clink/images/1440041e-fc27-423d-bcb6-2363b2802ba9758b99b0-71f0-479f-89c2-1acbf64471b7.jpg?preset=med-sq,Welcome to the Chico State Rowing page! The Rowing Club is a sports club that practices and competes year round. We compete against other schools across the west coast in the fall and spring. Our varsity women's team recently competed in ACRA Nationals in Georgia this past May and placed 9th in the nation! Please feel free to contact us with any questions and keep an eye out for us on campus and on social media! 
SAP Club,https://se-infra-imageserver2.azureedge.net/clink/images/d2e39143-b5fa-4da4-b6ca-aa7da2e59e31d897a0ca-b50a-4a7b-92ad-48c2675041e8.jpg?preset=med-sq,The SAP Club is an organization that focuses on networking with each other and working together to help provide opportunities to learn SAP. SAP is a very popular information system used by major corporations around the world. This club focuses on teaching skills and broadening exposure to SAP. Our goal is to provide students with a unique SAP experience that will prepare them for our growing SAP demanding world.
Sculpture Club,https://se-infra-imageserver2.azureedge.net/clink/images/952b5d3c-e3ec-4455-81df-9560b1a7744a26666b5c-d11a-4130-8722-c1b69bd0a610.jpg?preset=med-sq,"The Sculpture Club is an extension of the sculpture area in the Department of Art and Art History at California State University, Chico. We raise money for visiting artists, events and excursions for students from all majors. We also offer a support network for students to gain new skills by cooperating with talented students in a relaxed, informal atmosphere. We invite people from all areas of study to come and make art."
Senior Send-Off,https://se-infra-imageserver2.azureedge.net/clink/images/f8e2b93f-7ba6-4898-a6d8-ba5b250d9aa3f9ca1984-3a69-4d9d-8c73-b16d7d86fd6d.png?preset=med-sq,"In the spring semester, the Chico State Alumni Association plans and sponsors a celebration for the graduating seniors of CSU, Chico called Senior Send-Off. This event features a free BBQ lunch, tons of prizes, games, music, information on how to complete your graduation ceremony plans, and the opportunity to buy a graduation t-shirt wit your name listed among the year's graduating seniors. Senior Send-Off is an event no graduating senior will want to miss!"
Sigma Alpha,https://se-infra-imageserver2.azureedge.net/clink/images/73f41424-4138-41e1-b106-78c353e90625271460c0-be23-49df-9dd2-108a4b3613c9.jpg?preset=med-sq,"Sigma Alpha is a professional agricultural sorority that promotes scholarship, leadership, fellowship, and service. The sorority was founded in 1978 at Ohio State University, and since then it has become a national organization consisting of over 80 chapters."
Sigma Chi,https://se-infra-imageserver2.azureedge.net/clink/images/b028e275-405c-4588-88e5-ae569b6bac874c7dc15f-e2a8-49a4-8000-0faa3dddf1a5.jpg?preset=med-sq,The Kappa Theta chapter of the Sigma Chi Fraternity is a recently reinstated chapter on the CSU Chico campus. We are an approximately 60 man chapter.
Sigma Kappa,https://se-infra-imageserver2.azureedge.net/clink/images/efa20e88-a503-417d-bf5a-0b8be9e5df68137f907d-1957-4418-ac6b-6c354a00ec32.jpg?preset=med-sq,"The purpose of Sigma Kappa Sorority is to provide women lifelong opportunities and support for social, intellectual and spiritual development by bringing women together to positively impact our communities. At Chico State we live our values everyday by supporting one another in personal growth through involvement in our community and on campus. We love to have Bachelor viewing parties at the house, cheer for our intramural teams, paint dozens of props for the Parade of Lights during Greek Week, and get froyo before our meetings. We live One Heart, One Way. EK all day!"
Sigma Nu,https://se-infra-imageserver2.azureedge.net/clink/images/fd2542d0-8a60-4c95-986e-902910ac2905e1efe46f-2a23-4497-ba0b-e64e5eb4e87c.png?preset=med-sq,"Sigma Nu International Fraternity, Chapter Iota Kappa. We believe all members can transition into contributing members of society through our basic tenants of Love, Honor, and Truth."
Sigma Omega Phi,https://se-infra-imageserver2.azureedge.net/clink/images/1b33d418-9914-4b46-a855-c1955c9922dd13ab2597-2ab0-4ad7-be53-93c80c849f33.jpeg?preset=med-sq,"Welcome to Sigma Omega Phi Multicutural Sorority Alpha Chapter's Website. We invite you to learn more about our distinguished organization. Sigma Omega Phi Multicultural Sorority, Inc. was founded on April 26, 1990 on the CSU Chico campus to create an organization that unites women regardless of their origin. As of today, Sigma Omega Phi has and continues to provide a women's support network for women. Sigma Omega Phi was also founded on the ideals of opening minds through culture, education and unity."
Sigma Pi,https://se-infra-imageserver2.azureedge.net/clink/images/6158435e-c683-4ec0-b444-cef86b3aa65a517b1bdc-ed5e-418e-86e7-ae7128383d95.png?preset=med-sq,Fraternity based on academics and leadership building.
Sigma Tau Delta,https://se-infra-imageserver2.azureedge.net/clink/images/f73aaa2b-b392-4b88-9fcd-d5cb0809bcb40b502ce1-aec1-45a7-88a0-49b85d102ccc.jpeg?preset=med-sq,"Sigma Tau Delta is a national organization that is open to English majors and minors. Students of all majors with an interest in English are welcome to join its sister organization, the English Honors Society. Our goals include creating a community for English students that promotes academic success and personal development, spreading literacy awareness and encouraging the understanding of diversity in English while connecting with the community."
"Society for Human Resource Management CSU, Chico Student Chapter",https://se-infra-imageserver2.azureedge.net/clink/images/b64bc9d9-c338-4ea2-ae9e-b1f44fa410627530f325-7d34-405b-9760-1b2fc6ae378c.jpg?preset=med-sq,"Society for Human Resource Management (SHRM) provides opportunities for students to network on the local and state level through our student chapter. The activities involved with SHRM include learning more about local businesses while building relationships with professionals throughstudent conferences, resume/interviewing workshops, professional speakers, social events, and volunteer activities. Unlike many other organizations here on campus, SHRM is nationally recognized - so no matter where you end up after you graduate, being associated with SHRM will help distinguish your resume versus other candidates for positions."
Society of Physics Students,https://se-infra-imageserver2.azureedge.net/clink/images/79b29787-b5d2-46db-8d91-dd91286967f8c9275d41-98e7-41fa-927a-8a2b00870544.jpg?preset=med-sq,"The Chico State chapter of the Society of Physics Students is a group of students and graduates that are interested in science. We pride ourselves in our local outreach and free tutoring programs, and are focused on generating interest in all areas of science in order to encourage the next generation of scientists and engineers."
Society of Plastics Engineers,https://se-infra-imageserver2.azureedge.net/clink/images/0612ff34-1bdb-44dd-bd53-b9c13d29ce5884faddfe-e7ed-4a6a-a0e7-01f296609b51.jpg?preset=med-sq,"The CSU, Chico student SPE chapter provides students with the opportunity to explore the manufacturing, engineering, and material science aspects of the plastics and composites industry. SPE provides students with the ability to participate in team projects and competitions, to establish relationships with industrial, educational, and professional organizations, as well as provides the opportunity for industry tours and mentorships."
Society of Women Engineers,https://se-infra-imageserver2.azureedge.net/clink/images/ba369c15-e502-42c1-824d-416f5168a374558130ac-0339-432f-a6e0-cee0365daf80.jpg?preset=med-sq,"The Society of Women Engineers (SWE) strives to stimulate women to achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force in improving the quality of life, and demonstrate the value of diversity."
Sociological Association of Chico State (SACS),https://se-infra-imageserver2.azureedge.net/clink/images/ad663504-fdf9-475b-b603-c30fb12b4dded82f660c-9fe5-41b6-bb81-d8a084a48fa4.png?preset=med-sq,"The Sociological Association of Chico State (SACS) is a student-run organization, focused on fostering the opportunity for students to both study and apply sociology on campus and in the community through activism, facility tours and networking in the field of sociology and beyond. SACS cultivates a unique opportunity for students to gain first-hand knowledge of possible career interests that are both intellectually stimulating and meaningful in the community. New members from any major are always welcome!"
NA,NA,This group is for current Sport Club Officers as a direct line of communication with the Sport Club Coordinator and the Recreational Sports Department.
Student Affiliates of the American Chemical Society (SAACS),https://se-infra-imageserver2.azureedge.net/clink/images/3a5b3da9-fc7c-4a37-99d4-eefd30a68394f79932d5-5480-49a4-83df-b2d2bc36211c.jpg?preset=med-sq,The Student Affiliates of the American Chemical Society (SAACS) is an organization dedicated to community outreach in topics regarding chemistry to students on the Chico State campus.
Student Association Of Social Work SASW (Undergraduate),https://se-infra-imageserver2.azureedge.net/clink/images/f85e6b45-9fa3-424a-ade3-01e3bb41f31141af3702-8bff-44c0-84eb-ec18de176540.jpg?preset=med-sq,"The Mission of the Student Association of Social Workers! Acting as activists for social change in our community at CSU Chico and our surrounding communities. Advocating for student educational concerns and issues. To be group facilitators for projects, volunteer opportunities, and related educational experiences. To promote professional identity as a social worker. To provide public speakers on issues of interest and concern. To foster a sense of community within the School of Social Work to include students and faculty."
Student California Teachers Association (SCTA),https://se-infra-imageserver2.azureedge.net/clink/images/19e1eb0b-60dc-46da-a228-a1f7e809aa969e4fb73e-0677-4df0-96e7-77194c9f756f.jpg?preset=med-sq,The Student California Teachers Association strives to be a recognized and collaborative organization that inspires and fosters exemplary future leaders in education.
Student Composers Forum,https://se-infra-imageserver2.azureedge.net/clink/images/d66f8d50-ac1c-4be0-9d5a-4e87900a6280f8b1c309-1a4f-4ac0-9e48-2adf5b343e43.jpg?preset=med-sq,"We make music, all skill levels welcome! Don't know anything? We can help you get started. Already experienced? Share your music and grow as a composer! The Student Composer's Forum provides student composers with opportunities to share their music with fellow composers and the community at large. We host a variety guest musicians and composers, such as Raymond Barker, go on field trips to help us get inspired, and much more!"
Student Health Advisory Council,https://se-infra-imageserver2.azureedge.net/clink/images/5f5d74ad-eeab-4a3f-9d98-5d5d257d29e36d903b86-d831-4196-9a73-7180f1c8a0f4.png?preset=med-sq,"SHAC's mission is to advocate for the health needs of Chico State's students by working with the Student Health Center and campus administration. SHAC advises the Executive Director of the SHC and the Vice President of Student Affairs (VPSA) on matters such as; the scope of services offered and their delivery, hours of operation, fee-for-service charges, mandatory health fees, annual budgeting, and other critical campus health issues."
Student Learning Center,https://se-infra-imageserver2.azureedge.net/clink/images/26d0c279-0a1d-45f0-a7ea-acfcf029d7ffb2c33935-cdc8-490b-9144-d39b89851e9b.jpg?preset=med-sq,"Mission Statement - The mission of the Student Learning Center (SLC) is to provide services that will assist CSU, Chico students to become independent learners. The SLC prepares and supports students in their college course work by offering a variety of programs and resources to meet student needs. The SLC facilitates the academic transition and retention of students from high schools and community colleges by providing study strategy information, content subject tutoring, writing assistance, and supplemental instruction."
Student Philanthropy Council,https://se-infra-imageserver2.azureedge.net/clink/images/df35959a-70e8-460d-90ea-659b7a5d19220a487f5e-977c-4cf2-8d29-105a5e1aab09.jpg?preset=med-sq,"There’s no doubt that Wildcats have each other’s backs. Together, we can power change in each other’s lives. The Student Philanthropy Council is dedicated to doing just that—powering change through giving back—right here, right now. That’s why we’re raising money for student scholarships, educational programs, cultural and recreational activities, and state-of-the-art facilities and equipment. We may roam far and wide, but we will always be the heart of Chico State—today, tomorrow, and for life. It’s on us to make each other better, it’s on us to create the change we want to see. Thank you for doing your part, thank you for having our back—know, we’ll always have yours. PRESIDENT Kate Grgegori VP OF ADMINISTRATION Jo Reynolds VP OF FINANCE Mimi Baez VP OF PROGRAMMING Angel Zamora VP OF COMMUNICATIONS Stephanie Soriano PROGRAM ADVISORS Steven Loya Allen Lunde"
Student Veteran Organization,https://se-infra-imageserver2.azureedge.net/clink/images/f299550d-3ae0-4c4e-bc06-e0288a4ac8839eb8ce0d-135c-45b2-8dd7-6a3d75448722.jpg?preset=med-sq,"The California State University, Chico (CSUC) Student Veteran Organization (SVO) is dedicated to providing a social network for Student Veterans, assist Student Veterans in accessing the benefits that they have earned, conduct activities that will foster the sense of fellowship that many Veterans remember from their service, to find and seek out information that may be beneficial to Student Veterans and to assist Veterans making the transition to civilian life. The Student Veterans' Organization is made up of Veterans who are students at CSU Chico and others who are closely affiliated to this community of Veterans. The Chico State SVO has representatives on the Veterans Educational Support Team (VEST) which is comprised of representatives of almost every Campus Office. VEST is dedicated to providing services and removing roadblocks that Veterans may face during their time on campus. The Chico State SVO is one of the founding chapters of the Student Veterans of America (SVA)(www.studentveterans.org), a national group dedicated to assisting Student Veterans chapters around the world and their members."
Tau Kappa Epsilon,https://se-infra-imageserver2.azureedge.net/clink/images/835659f8-7e38-43fc-b564-9c47a6a244fb5a9dae1c-1a4d-41d1-919f-95325dcc8c47.jpg?preset=med-sq,"Founded on January 10, 1899, Tau Kappa Epsilon is one of the largest collegiate men’s social fraternities in North America with over 272,000 initiated members and 237 active chapters and colonies. TKE’s mission is to aid men in their mental, moral and social development for life. With nearly 12,000 collegiate members, Tau Kappa Epsilon contributes to the advancement of society through the personal growth of our members, and service to others. TKE builds Better Men for a Better World."
The Digital Filmmakers Guild,https://se-infra-imageserver2.azureedge.net/clink/images/9ea520f9-5616-4edb-afe3-4fadb9f53f8adc509540-94d4-431e-90a1-ed1e1e08eb86.png?preset=med-sq,"The Digital Filmmakers Guild is an organization dedicated to the students of California State University, Chico who have a passion for the art of filmmaking. The purpose of the Digital Filmmaker’s Guild is to give students with an interest in any part of digital filmmaking a place to explore that interest. Our organization goes through the entire process of making a short film every semester, from pre-production to post-production, and gives all members a chance to contribute to any part of the process that they wish. We also give an open opportunity to students to showcase their independent short films every semester at our student operated awards show."
The Management Club,https://se-infra-imageserver2.azureedge.net/clink/images/b17a2e3a-b7e8-4aaa-8143-a9324cfec850e49d845e-1129-442b-91b8-3fe2171443f8.jpg?preset=med-sq,"We are a student run organization founded at the CSU, Chico campus in Spring 2013. Our mission is to provide a fun, enriching, and experiential environment promoting the development of positive professional and life competencies. Our main focus is to empower all students interested in management, human resource management, and leadership. All majors are welcome to get involved!"
The National Society of Leadership and Success,https://se-infra-imageserver2.azureedge.net/clink/images/e36ffee9-4292-49f7-948a-2b3d7f9c9f5ee99a754b-f322-43d5-a9bf-adbf807f2e61.PNG?preset=med-sq,"The NSLS is the nation's largest leadership honor society. Students are selected by their college for membership by either academic standing or faculty referral. Candidacy is a nationally recognized achievement of honorable distinction. With over 750 chapters, the NSLS currently has more than 1,100,000 members nationwide! "
This Way to Sustainability,https://se-infra-imageserver2.azureedge.net/clink/images/9bb6a3a4-6336-47de-9489-21600226f58c9190d171-8ff2-4b3c-a972-87ce8487f21b.jpg?preset=med-sq,"This Way to Sustainability is an annual conference hosted here at CSU, Chico. It is the largest student run conference of it's kind. The conference focuses on factors that allow communities and individuals to prepare for a dynamic future, one with uncertain, but generally increasing, socio-ecological stresses. We will explore opportunities to enhance community and individual well-being, and the resources needed to do so."
Triathlon,https://se-infra-imageserver2.azureedge.net/clink/images/11c2774d-cfed-422e-a404-17ff226f3df05a91fbb1-8167-414b-a491-edd8c416283b.jpg?preset=med-sq,"The Chico State Triathlon club is a group of students who love endurance sports. Triathlons consist of swimming, biking and running. Most students enter the club without any experience in one or more areas. We are a friendly team whose goal is to develop and improve as athletes and students. This club is perfect for people looking to try something new while making friends and having fun."
Upsilon Kappa Delta,https://se-infra-imageserver2.azureedge.net/clink/images/3a54c352-3503-4b3b-9921-c06a0f6b0dca9d06c2f1-d60c-4d4a-b2a5-ce4003a42ed4.JPG?preset=med-sq,"Upsilon Kappa Delta (ϒΚΔ) A few fun facts about UKD: Our mascot is the beautiful butterfly, our flower is the stargazer lily, and our colors are forest green, maroon, and navy blue. The Ladies of Upsilon Kappa Delta began as a small but determined group of strong women. In the Fall of 1993 thirteen young Ladies sought to establish a multicultural sorority. Upsilon Kappa Delta was officially established on December 10, 1993 at California State University, Chico. Our goal was and continues to be, to provide Chico State with an example of the ideal Multicultural Sorority. In order to understand the importance of this goal, one must understand the importance of multi-cultural awareness. Our definition reads as follows. ""Multiculturalism is an appreciation of the different cultures in our sorority and around us; an acknowledgment of the different values and equality of diverse groups."" We are based on Academics, Community service and Sisterhood with an emphasis on multiculturalism. Our sorority offers an atmosphere that is conducive to learning. Without an education we would not be where we are today. We encourage academic success by implementing study hours. We try to educate ourselves as well as others in the community by making ourselves and others aware of issues that concern the community and by offering our services in an effort to help make the community we live in a better one. We are involved with various campus events. As a sister of Upsilon Kappa Delta you can always count on finding someone who will stick by your side through thick and thin. Our motto ""A Sisterhood 2 Tight 2 Break"" says it all. By the same token,a sister must dedicate her heart and her soul to the letters we proudly earned to wear across our chest. The Ladies of Upsilon Kappa Delta feel that all of these characteristics combined allows our sisters to be successful in every aspect of their lives during and after college."
Wakeboard,https://se-infra-imageserver2.azureedge.net/clink/images/935bca77-8129-4dfa-814b-c545fbc04d91553eceb8-fa25-4ce8-8f43-920c589df485.jpg?preset=med-sq,"Chico State Wakeboarding was formed in 2005 as a recreational club, but now competes on the collegiate wakeboard circuit against teams from all around the nation. The team has qualified for the Collegiate Wakeboard Nationals every year since its inception, including a 3rd place finish in 2009, 1st place finish in 2010, and 2nd place finish in 2011, a first place finish in 2012, and 3rd place in 2013, we have continued to compete Nationally since and have ended the 2016 season in 4th place. Their outstanding achievement also earned them the title of ""Best in the West"" for the first time, as no other Western Region team finished higher than Chico State. The Chico State Wakeboard Team continues to put the small Northern California school on the map. In the wake of devastating budget cuts, the club has fought through adversity and continues to grow the sport of wakeboarding in community. This year the club has one goal: Be National Champions!"
Waterski,https://se-infra-imageserver2.azureedge.net/clink/images/167dd915-a3df-44a7-9ae9-64d458565d12328ead38-02a0-4a09-8cd5-11a9d36b6041.jpg?preset=med-sq,"This is a distinguished, competitive club of athletes ranging from novices to National champs, whose expertise is in the 3-event sport of waterskiing. We travel the state, the western region, and the country competing against other collegiate waterski teams for individual and team titles. We own our own ski boat, and have the special privilege of using a private ski lake in Chico for practice. The club welcomes new members in the fall and spring semesters. When people join, they enter into a group of friends who will stay close for a lifetime, and share memories of amazing experiences together. Email csucwaterski@gmail.com"
